shastragaar,शस्त्रागार
pheete,फीते
deshaj,देशज
nagora,नागोरा
paijanon,पैजनों
tilgam,तिलगाम
bhausahebnagar,भाऊसाहेबनगर
subnets,सबनेट्स
unoonken,उनूंकें
croci,क्रोसी
icebox,आइसबॉक्स
bockt,बॉक्ट
polynesian,पॉलिनेशियाई
naangon,नांगों
vamankarak,वमनकारक
chapakal,चपाकल
asiloma,असिलोमा
nirmanachitta,निर्माणचित्त
moulvi,मौलवी
bhenihar,भेनिहार
faramaayen,फ़रमायें
corts,कौरटीस
gurubrahma,गुरुब्रह्मा
trafflegar,ट्रैफलगार
jhalokati,झालोकटी
sarakaane,सरकाने
sadetera,साडेतेरा
champakara,चंपकारा
sunheda,सुन्हेड़ा
kalidaskrit,कालिदासकृत
rayoji,रयोजी
sammani,सम्मानी
parprekshya,परप्रेक्ष्य
suratgarh,सूरतगढ़
parnewali,पड़नेवाली
exclave,एक्सक्लेव
ishwariprasad,ईश्वरीप्रसाद
tippaniyon,टिप्पणियों
davderi,दावदेरी
idling,आईडलिंग
kamisar,कमिसार
homeseller,होमसेलर
changanassery,चंगनास्सेरी
ghungharu,घुंघरू
dakhaa,दखा
palmu,पालमू
gabriella,गैब्रिएल
lahili,लाहिली
swaamijee,स्वामीजी
gilgiti,गिलगिती
doston,दोस्तों
ghabrani,घबरानी
khirajpur,खिराजपुर
chitranirman,चित्रनिर्माण
ganwaru,गंवारू
netikata,नैतिकता
penguins,पैंगुइन्स
anandakade,आनंदाकडे
subbalakshmi,सुब्बुलक्ष्मी
swint,स्विंट
backroll,बैकरोल
vritto,वृत्तो
kalol,कलोल
tabura,तबूरा
zalski,ज़ाल्स्की
amalapuram,अमलापुरम्
vagarth,वागर्थ
nawabazar,नवाबाजार
overaxpose,ओवरएक्सपोज
rengtekwan,रेंगतेकवान
barmasa,बरमासा
inchajon,इंचाजों
abhinagya,अभिनज्ञ
battalionein,बटालियनें
yabusiyon,यबूसियों
antarakshin,अंतरक्षिण
alhadaa,अलहदा
oopantaran,उपान्तरण
kihuni,किहुनी
volgus,वोल्गस
banshamani,बंशमणि
kioto,क्योटो
billionaire,बिलियनर
uttarale,उत्तरले
likand,लिकंड
quaid,कायैद
indusdry,इंडस्ड्री
sandbhon,सन्दभों
hirasing,हीरासिंह
akhyaarit,अख्यारित
kibithu,किबित्त्तु
beautition,ब्यूटिशन
fairmade,फेयरमेड
malegitti,मालेगट्टी
oldies,ओल्डीज
drones,ड्रोंस
indometriosis,इंडोमेट्रियोसिस
supriyadi,सुप्रियादी
drvyon,द्रव्यों
rlam,आरएलएएम
paramani,परमणी
chandrej,चंद्रेज
lumper,लंपर
mhada,महाडा
roliakshat,रोलीअक्षत
gushala,गुशाला
chithhee,चिठ्टी
phata,फाता
pathura,पथूरा
amalemba,अमलएम्बा
anchhidongri,आंछीडोंगरी
dandanusar,दण्डानुसार
sukhonko,सुखोंको
aggreasunction,एग्रीजंक्शन
decrypted,डीक्रिप्ट
natyarupantaran,नाट्यरूपान्तरण
bhaaona,भाओना
sulpuffer,सल्पफर
mahuatali,महुआताली
mhatmya,महात्म्य
bundala,बुंडाला
satyapanoparant,सत्यापनोपरान्त
steelwell,स्टीलवेल
kraying,क्रयिंग
mithyabhiman,मिथ्याभिमान
logani,लोगनी
nagend,नगेंद
aawaajke,आवाजके
tirumadal,तिरुमडल
nutella,न्यूटेला
vikshi,विक्षी
madveshiya,मद्वेशिया
adtv,एडीटीवी
dishaadhipati,दिशाधिपति
saubhagini,सौभागिनी
bijibehra,बिजिबेहरा
closet,क्लोसेट
chaatraadhyaapak,छात्राध्यापक
hariyalapan,हरियालापन
laabhkari,लाभकारी
patchen,पैचेन
aajaayenge,आजाएँगे
sandarbhasathi,संदर्भासाठी
binjalvaadaa,बिंजलवाड़ा
culmination,कल्मिनेशन
complimentary,कॉम्प्लीमेंट्री
chattoraj,चट्टोराज
kaareegaro,कारीगरो
rugnambabat,रुग्णांबाबत
manencha,मानेंचा
underdog,अंडरडॉग
jamanagar,जामनगर
naazukataa,नाज़ुकता
baabaajiyon,बाबाजियों
kahaaniyaangyaanvardhak,कहानियाँज्ञानवर्धक
yetanach,येतानाच
phannekhan,फन्नेखान
roning,रोनिंग
sanhitaayon,संहितायों
dorababu,दोराबाबू
lekru,लेकरु
niruhan,निरूहण
workbench,वर्कबेन्च
glorification,ग्लोरीफिकेशन
kainsarkarak,कैंसरकारक
balanahata,बालनाहटा
hathkadiyaan,हथकडियाँ
tikaave,टिकावे
ehtiaz,एहतियाज
capitalization,कैपिटलाइज़ेशन
selvam,सेल्वम
malishon,मालिशों
furait,फुरैत
sveekarnahin,स्वीकारनहीं
shetrasya,क्षेत्रस्य
pradhaanmantrigan,प्रधानमन्त्रीगण
aibms,एआईबीएमएस
bandeep,बंदीप
plotpassoon,प्लॉटपासून
yathaprativedit,यथाप्रतिवेदित
infrastrugture,इंफ्रास्ट्रगचर
chbl,सीएचबीएल
swarajyaji,स्वराज्यजी
ehtesham,एहतेशाम
goral,गोरल
bollinger,बोलिंगेर
harkata,हरकता
revatisaran,रेवतीसरन
ekbaddh,एकबद्ध
prtipakshi,प्रतिपक्षी
jhaalelyaachi,झालेल्याची
pirivaaron,पीरिवारों
parappan,परप्पन
shyamalagori,श्यामलागोरी
mohindergarh,मोहिंद्रगढ़
upkulguru,उपकुलगुरु
kridanagari,क्रीडानगरी
khaunskar,खौंसकर
bhuvana,भुवना
sammelaniya,सम्मेलनीय
durveshwar,दुर्वेश्वर
indradik,इंद्रादिक
neelakantan,नीलाकन्टन
vabhaavat,वभावत
satferon,सातफेरों
breakon,ब्रेकों
swargavasini,स्वर्गवसिनी
lakinparty,लेकिनपार्टी
kalikhoh,कालीखोह
harisimrat,हरिसिमरत
yashin,यासिन
unstructured,अनस्ट्रक्चर्ड
chalakpadasathi,चालकपदासाठी
srigonda,श्रीगोंडा
companyacha,कंपन्याचा
anuchhedbaddh,अनुच्छेदबद्ध
charitrapataat,चरित्रपटात
keetarhit,कीटरहित
sthaankaansah,स्थानकांसह
suruz,सुरुज
dugai,दुगई
aedile,एडाइल
siddhantkaar,सिद्धांतकार
trapiye,ट्रैपिये
yenyavishayi,येण्याविषयी
mather,माथर
fatteshah,फत्तेशाह
nedumpara,नेदुम्परा
igf,आईजीएफ़
chandikhole,चंडीखोल
poonjikar,पूंजीकर
nafekhorichya,नफेखोरीच्या
shyamvati,श्यामवती
havaate,हवाते
udvilaav,उद्विलाव
pabai,पाबई
lamborghini,लाम्बोर्गिनी
doabs,दोआब
bhagyashree,भाग्यश्री
soliders,सॉलिडर्स
kumanthem,कुमनथेम
siyana,सियाणा
katange,कटांगे
uttaap,उत्ताप
prakriyaat,प्रक्रियात्
pashupalak,पशुपालक
killanthus,किलैन्थस
gaadne,गाड़ने
workshup,वर्कशप
kimbho,किंभो
samaldas,सामलदास
sheeghragami,शीघ्रगामी
kandele,कंडेले
nitishe,नीतीशे
darukam,दारूकाम
phirun,फिरुँ
yahunna,यहुन्ना
elche,एल्चे
shunyajama,शून्यजमा
kulacharasathi,कुलाचारासाठी
aatmadrashta,आत्मद्रष्टा
unpalabdh,उनपलब्ध
badliyon,बदलियों
dahna,डाहना
hindutvwadi,हिन्दुत्ववादी
baghjan,बाघजान
lipahi,लिपही
rashtrapatika,राष्ट्रपतिका
motiyari,मोतियारी
collity,कॉलिटी
gavavaril,गावावरील
salkehain,सालकेहैं
koyele,कोयेले
narange,नारंगे
baskota,बसकोटा
zamiyat,ज़मीयत
bungidhar,बुंगीधार
bhavpar,भावपर
hubben,हब्बेन
dharadar,धारादार
jorda,जोर्डी
aahinsatmak,आहिंसात्मक
akham,अखम
niruparay,निरुपाराय
vibe,वाइब
vaktam,वक्तम
buffiny,बफिनी
siwatch,सिवाच
carola,कॉरोलॉ
bullstrike,बुलस्ट्राइक
prosecuters,प्रॉसिक्यूटर्स
shilpankeet,शिल्पांकीत
parali,पारलइ
toi,तोई
dvanadvon,द्वंद्वों
mansharam,मानसरम
sitambatar,सितंबतर
paryataksthal,पर्यटकस्थल
sisitum,सिसिटम
coloniser,कॉलोनाइजर
scrorosil,स्क्रोरोसिल
bloemfontein,ब्लोमफोन्टेन
karoibai,करोईबाई
palinder,पालिंदर
dhamot,धमोट
letaayen,लेटाएं
kadakote,कड़ाकोट
ribar,रिबार
punahsatyaapan,पुनःसत्यापन
somgarh,सोमगढ़
vachanadvayam,वचनद्वयम्
palanwala,पालनवाला
bisoyi,बिसोयी
varundweep,वरुणद्वीप
arumanai,अरुमनाई
kanjuring,कान्जुरिंग
kauvo,कौवो
padrah,पद्रह
temer,तेेमेर
hamraahi,हमराही
samajsevechi,समाजसेवेची
koldhan,कोलधन
fireplaces,फायरप्लेस
papini,पापिनी
prajjvallit,प्रज्ज्वल्लित
ramini,रमैनी
rambhaddarpur,रामभद्दरपुर
parpreet,परप्रीत
nimbut,निम्बुट
ikhaail,मिखाइल
sallya,सल्ल्या
freecharge,फ्रीचार्ज
ladhvile,लढविले
marudon,मरुदों
nyayadheesho,न्यायाधीशों
nehtar,नेहतर
watoor,वाटूर
himgirizi,हिमगिरीज़ी
durgostav,दुर्गोस्तव
dilhon,दिल्हों
kasumpti,कासुमप्टी
cotterney,कॉटर्नी
geetanjali,गीतांजली
pangkal,पंगकाल
hujib,हुजीब
duragrahvash,दुराग्रहवश
workf,वर्कफ
ghatnakramat,घटनाक्रमात
hypersensitive,हाईपरसेंसिटिव
husaid,हुसैद
accommodation,अकॉमोडेशन
purvisinhbhum,पूर्वीसिंहभूम
katit,कटित
sandarv,सन्दर्व
upjivikesathi,उपजीविकेसाठी
huston,ह्यूस्टन
kunnanpur,कुन्ननपुर
thermosphere,थर्मोस्फीयर
chheelen,छीलें
changthan,चांगथान
chhantai,छंटाई
lijli,लिजली
khagadiyan,खगड़ियां
pramilaben,प्रमिलाबेन
trigatara,त्रिगतरा
sinduri,सिंदुरी
samaanantar,समानन्तर
bhagyam,भाग्यम्
informatic,इंफारमेटिक
kirha,किरहा
vellit,वेल्लित
agnihotree,अग्निहोत्री
gorsali,गोरशाली
paryamitra,पर्यामित्र
adenocarkinoma,एडेनोकार्किनोमा
flive,फ्लाइव
devaskar,देवासकर
avakaad,अवकाद
firzabad,फिरजाबाद
gulaambaade,गुलामबाड़े
caplar,केपलर
mcphaul,मैकफॉल
baluswamy,बालुस्वामी
steagler,स्टीगलर
hednusar,हेडनुसार
jaime,जैमी
bakelal,बाकेलाल
somchai,सोमचाई
majaharchya,मजहरच्या
nawaaz,नवाज़
ashviya,अश्वीय
hetmyer,हेत्मायेर
thopavali,थोपवली
thounsand,थाउंसैंड
bangda,बांगदा
chhakaai,छकाई
gypdial,जिपडायल
sattarvan,सत्तरवां
muslai,मुसलाई
bahiriya,बहिरिया
branding,ब्रांड
leyo,लेयो
vaidham,वैधम
khachkhach,खचखच
papsi,पापसी
kuvempu,कुवेम्पु
tolega,तोलेगा
chalkida,कालकिदा
tijan,तिजान
shonak,शोनक
essential,एसेंशियल
dokyane,डोक्याने
nardeshan,नर्देशन
purhara,पुरहरा
laplace,लाप्लेस
ravinder,रवींदर
virom,विरोम
teeviyon,टीवियों
lokjivanat,लोकजीवनात
kaaryvidhion,कार्यविधियों
jashuva,जाशुवा
kamalo,कमलो
nirvaap,निर्वाप
ilshat,इलशात
vanlalpeki,वनलालपेकी
schizophrenics,सीजोफ्रेनिक्स
lohakhar,लोहाखर
frente,फ्रेंटे
shivkumarji,शिवकुमारजी
shanachie,शानाची
havirbhag,हविर्भाग
quare,क्वेयर
kaaryapad,कार्यपद
panheda,पन्हेडा
bakshibagh,बक्षीबाग
bodener,बोडनर
majuricha,मजुरीचा
doodhe,दूधे
thesizer,थेसाइज़र
karvaidware,कारवाईद्वारे
shahpurkala,शाहपुरकला
radhakrishan,राधाकृषण
chrysalis,क्राइसेलिस
tamanch,तमंच
kharaamaa,खरामा
baujia,बौजिया
relpol,रेलपोल
srisomnath,श्रीसोमनाथ
roumon,रोमों
tarseel,तरसील
srirajesh,श्रीराजेश
sakinder,सकिंदर
virtualization,वर्चुअलाइजेशन
debebe,देबेबे
riston,रिस्तों
sharqiyah,शारकियाह
mulajamon,मुलाजमों
jageshwarnath,जागेश्वरनाथ
abrams,एब्राम्स
andamanala,अंदमानला
givens,गिवेंस
ifmis,आईएफएमआईएस
karyatmaktaen,कार्यात्मकताएं
chamundeswari,चामुण्डेश्वरी
kulupe,कुलुपे
alampur,आलंपूर
daulasinhwala,दौलासिंहवाला
gangapura,गंगापुरा
hydroxide,हाइड्रोक्साइड
hosakegi,होसकेगी
bandaramadhye,बंदरामध्ये
fueling,फयुलिंग
puchenge,पूछेंगे
nabis,नबीस
mahismati,महिस्मति
sachchaayi,सच्चाई
balekillyacha,बालेकिल्ल्याचा
apdhaariyon,अपधारियों
shodhk,शोधक
khasdaransamwet,खासदारांसमवेत
ajbarao,अजबराओ
mitnewali,मिटनेवाली
inshahallah,इंशाहअल्लाह
barkatil,बरकातिल
aupchaarkitaaen,औपचारकिताएं
sweakery,स्वीकरी
palbosyslib,पाल्बोसिसलिब
thaaven,थावें
sulfoxide,सल्फोक्साइड
vijaliwala,वीजलीवाला
xiaon,शियाओं
chaplaha,चपलाहा
bertoji,बर्तोजी
kabbaravachha,कब्बरवच्छा
dermatopathologist,डर्मेटोपैथोलॉजिस्ट
bhikhani,भीखनी
rajshekar,राजशेखर
ingel,इंजेल
universities,यूनिवर्सीटीज
kasbek,कास्बेक
faink,फै़क
dashers,डेशर्स
naliyo,नलियो
vaktahar,वक्तहर
khandale,खंडाले
balikayon,बालिकायों
chhaayaaen,छायाएं
kishangarh,किशनगढ़
jagitial,जगितल
hothern,हॉथर्न
sawanga,सवांगा
coxs,कॉक्स
thvak,ठ्वक्
mettupalayam,मेट्टुपलयम
shubhravesh,शुभ्रवेश
linsell,लिनसेल
musarraton,मुसर्रतों
putraane,पुत्राने
nadhswaram,नादस्वरम
ranchbhar,रंचभर
stathi,स्तथि
dipayan,दिपायन
nonbanking,नौनबैंकिंग
frieden,फ्रिडेन
vikipui,विकिपुइ
polymerisation,पोलीमराइजेशन
sansyas,संस्यास
ursal,उरसाल
salabad,सलाबाद
kaapalik,कापालिक
swasthatata,स्वस्थतता
shetmalanche,शेतमालांचे
naisvoimistelu,नैस्वोइमिस्तेलु
grester,ग्रेस्टर
bhuadhigrahan,भूअधिग्रहण
altenberg,एल्टनबर्ग
bachhaura,बछौरा
intruder,इंट्रोडर
antiquary,एंटिक्वेरी
alumen,अलुमेन
dunon,धुनों
rimjim,रिमझिम
sameepavarti,समीपवर्ती
vanaspitiyon,वनस्पितियों
aavasthet,आवस्थेत
sarnez,सारनेज
ralegansiddh,रालेगणसिद्ध
wastuvid,वास्तुविद
leinster,लेइन्स्टर
obede,ओबेद
dcms,डीसीएमएस
panthaky,पंथकी
centres,सेंटर्स
kulwari,कुलवारी
ansunein,अनसुनें
ramuji,रामुजी
gangapath,गंगापथ
duhaane,दुहाने
majors,मेजर्स
thelataa,ठेलता
mussolin,मुसोलिन
matrimulak,मातृमूलक
maltova,मालटोवा
servicelen,सर्विसलेन
basveet,बसवीत
daraila,डरैला
sameekaranon,समीकरणों
intensive,इन्टेंसिव
meparyant,मेपर्यंत
anthoven,एंथोवेन
hundo,हंडो
ladhvanyachihi,लढवण्याचीही
theseus,थीसस
vasiyatkarta,वसीयतकर्ता
bargari,बारगरी
anuvikshan,अनुविक्षण
mestoid,मेस्टायड
shetbandar,शेतबंदर
asimita,असीमिता
bauddhamaya,बौद्धमय
purandeswari,पुरन्देस्वरी
turkmenistan,तुर्केमेनिस्तान
diveroli,डाइवरोली
bhualankaran,भूअलंकरण
archean,आर्कियन
nuralia,नूरालिया
eucalyptis,यूकलिप्टिस
refauling,रिफॉलिंग
chhatriyan,छतरियाँ
denois,डेनॉइस
anupastith,अनुपस्तिथ
forgotten,फॉरगोटन
produre,प्रोड्यूर
townships,टाउनशिपों
hydrolics,हाइड्रोलिक्स
gujaraticha,गुजरातीचा
aatmcharitratil,आत्मचरित्रातील
devananda,देवानंदा
jhinna,झिन्ना
onychodont,ओनीचोडोंट
mohaga,मोहगा
alium,एलियम
visaran,विसरण
uskepita,उसकेपिता
girvaaen,गिरवाएं
bashroom,बाशरूम
aksharasathi,अक्षरासाठी
bangabhushan,बंगभूषण
divorces,डाइवोरसिज़
protector,प्रॉटेक्टर
majedarbat,मजेदारबात
rawatpada,रावतपाड़ा
avinashiswarup,अविनाशीस्वरूप
durai,दुरई
iglicia,इग्लिशिया
burris,बुरिस
chihunkkar,चिहुंककर
kashimira,काशीमीरा
vibhush,विभूष
vedori,वेटोरी
sandigdhi,संदिग्धि
citive,सिटिव
sriramkath,श्रीरामकथ
nibandhon,निबंधों
kumartunga,कुमारतुंग
diphu,दीपू
khileria,खिलेरिया
reyas,रेयास
azeematareen,अज़ीमतरीन
abdurrasul,अब्दुर्रसूल
rajneti,राजनेति
kelyasarkhi,केल्यासारखी
jimre,जिमरे
valerio,वेलेरियो
javedekar,जावेड़कर
surukshit,सुरुक्षित
yonus,यूनुस
miyana,मियाना
tadipudi,ताड़ीपुड़ी
matashree,माताश्री
teezaarband,तीज़ारबंद
moinuddin,मोइनुददीन
kagalsah,कागलसह
marphan,मार्फन
struff,स्ट्रफ
immigrants,इमीग्रेंट्स
wink,विंक
bhartatali,भारतातली
mavasidhiyan,मवासिधियां
rajapadmasagarji,राजपद्मसागरजी
bahkar,बहकर
bening,बेनींग
krodhandh,क्रोधान्ध
asantulanache,असंतुलनाचे
ramper,रैंपर
sonaavade,सोनावड़े
roopshukan,रूपशुकन
hamaas,हमास
wubai,वुबाई
tidaar,तिदार
kacker,कैस्कर
ramnarayanan,रामनारायणन
dulshan,दुलशान
tejovrisho,तेजोवृषो
shuddhavichar,शुद्धविचार
shramdanachi,श्रमदानाची
afasaraanon,अफसरानों
polarising,पोलराइज़िंग
shapse,शापसे
jainu,जैनु
portent,पॉर्टेंट
chaibees,चैबीस
laharaayengen,लहरायेंगें
vasrala,वासराला
aangatuko,आगंतुकों
snaayumandal,स्नायुमंडल
sabiruddin,सबीरूद्दीन
kaalaahaandee,कालाहांडी
baitaltek,बैटलटेक
antimate,एंटीमेट
airation,एयरेशन
neuroendmine,न्यूरोएंडमाइन
ranjin,रंजीन
verifeshan,वेरिफेशन
pistan,पिस्टन
digo,डिगो
maheshbagada,महेशबागड़ा
meratwal,मेरतवाल
imbosed,इम्बॉस्ड
rajsanshi,राजसंशी
danushka,दानुश्का
churavo,चुराओ
preservative,प्रिजर्वेटिव
sajanch,सजांच
chandrayaan,चंद्रायन
zubayr,जुबयर
bakanchi,बाकांची
marles,मार्लेस
pashchime,पश्चिमे
shakambari,शकम्बरी
mahaadukaanen,महादुकानें
finsec,फिनसेक
bhaktisiddhant,भक्तिसिद्धांत
rahemi,रहेमी
bhashashaili,भाषाशैली
belawan,बेलावन
ajiyat,अजीयत
adhikaarach,अधिकारच
bhatija,भतिजा
kotahiyon,कोताहियों
agnirakshak,अग्निरक्षक
mushyare,मुशयारे
bhuguwara,भुगुवारा
tomentosa,टोमेंटोसा
kakhar,काखर
wastuwe,वस्तुवे
surve,सरवे
kraakataau,क्राकताऊ
chintayukt,चिंतायुक्त
cytopinia,साइटोपीनिया
vastushilpiya,वास्तुशिल्पीय
mushrifach,मुश्रीफच
hakurk,हकुर्क
shemiranat,शमीरनात
manghwani,मंघवानी
ussatur,उस्सतूर
warhapur,वरहापुर
kusaujhiya,कुसौझिया
haarin,हारिन
cordial,कार्डियल
aatmakriti,आत्मकृति
alreena,अलरीना
lekhande,लेखंडे
hijaain,हिजाइन
lackballing,लैकबॉलिंग
kelleway,केलेवे
madhyayugeen,मध्ययुगीन
ujjwalatai,उज्ज्वलाताई
waghabil,वाघबिल
jhammanram,झम्मनराम
teckfhaith,टेकफ़ेथ
grihwasi,गृहवासी
mantiness,मैंटीनेस
harinayak,हरिनायक
aatmahadan,आत्महदन
harichandra,हरीचन्द्र
dattakta,दत्तकता
karnaazes,कर्नाज़ेस
bacharam,बच्चाराम
kolesanova,कोलेसानोवा
atmasamaya,आत्मसमय
prabhakumari,प्रभाकुमारी
californiyan,कैलिफोर्नियाँ
dharamshasit,धर्मशासित
narur,नरुर
lijian,लिजिन
ramsonlion,रामसनलियन
holdway,होल्डवे
tripala,त्रिपाला
bhusu,भुसु
atikriman,अतिक्रिमण
paramshaktee,परमशक्ति
imurul,इमुरुल
condidates,कंडीडेट्स
ishwarkahi,ईश्वरकाही
teamany,टीमनी
rotibandi,रोटीबंदी
koothattukulam,कूथट्टुकुलम
bhaujipura,भौजीपुरा
sanskarmay,संस्कारमय
ashlilachhipe,अश्लीलछिपे
hilla,हिला
kashina,कशीना
doricha,दोरीचा
paristhitikivid,पारिस्थितिकीविद
avant,एवेंट
barethar,बरेठर
shahjil,शाहजिल
aastaanon,आस्तानों
aahitaru,आहितरू
spashtikaranpurna,स्पष्टीकरणपूर्ण
vasnas,वासनास
dibban,दिब्बान
nargawan,नरगवां
sansani,सनसनी
majhaach,मझाच
immaculate,इम्मेक्यूलेट
sonazari,सोनाजारी
firozabadi,फ़िरोज़ाबादी
asiraf,असीरफ
samprakshan,संप्रक्षण
archaavtaar,अर्चावतार
baladwada,बलदवाड़ा
manethu,मनेथू
petrolbabat,पेट्रोलबाबत
salche,सालचे
belgaon,बेलगाँव
abasak,अबासक
retardant,रिटारडेंट
janoob,जनूब
critiev,क्रिटिएव
badhwal,बढवाल
mundamaladanga,मुंडमालडांगा
hamaraham,हमाराहम
bhokarchya,भोकरच्या
envestigation,एन्वेस्टिगेशन
apchaalan,अपचालन
keeatirikt,कीअतिरिक्त
jeemashm,जीमाश्म
bheedoo,भीड़ू
belakuchi,बेलाकूची
tattvachintamani,तत्त्वचिन्तामणि
hakimpura,हकीमपुरा
kondubhare,कोंडुभरे
akshum,अक्षुम
plyometrics,प्लायोमेट्रिक्स
chlorophic,क्लोरोफिक
trilinear,ट्राीईलिनियर
gudiyaaon,गुड़ियाओं
vaulyoom,वाल्यूम
teerthdas,तीर्थदास
shaivpanth,शैवपंथ
pacchisiya,पच्चीसिया
ars,एआरएस
sullu,सुल्लु
juliered,जूलियर्ड
bhaktalilamrit,भक्तलीलामृत
humdonon,हमदोनों
navahon,नवहों
shukmini,षुक्मिनि
putramoh,पुत्रमोह
taangonvaale,टाँगोंवाले
ekhta,एखता
dhaamnod,धामनोद
chotwa,चोटवा
grubs,ग्रब
dards,डार्ड्स
jinyaamadhye,जिन्यामध्ये
sogwar,सोगवार
phusphusaate,फुसफुसाते
ganderbal,गंदेरबल
cred,क्रेड
danielle,डेन्येल
swaratantriyon,स्वरतंत्रियों
ajayaraja,अजयराज
vishuvat,विषुवत
chingnar,चिंगनार
bhinnamtaavalambiyon,भिन्नमतावलंबियों
kartabia,करताबिया
drawya,द्रव्य
sirimavo,सिरीमावो
manasamanch,मानसमंच
yetiyon,येतियों
mamostong,मामोत्सांग
malraux,मालरॉक्स
sujandhar,सुजांधर
vidhayakalahatu,विधायकलहटू
vooc,वूक
khanapurcha,खानापूरचा
netbandi,नेटबन्दी
beposhida,बेपोशिदा
adishankar,आदिशंकर
mourou,मोरौ
lootaane,लूटाने
puterellas,प्यूटरेलास
carmhouse,कार्महाउस
summersible,समरसिबल
faiyazla,फैयाजला
badakhshan,बदख़्श
chaeronea,चैरोनीआ
faridabadvasiyon,फरीदाबादवासियों
vasudev,बासुदेव
firyadinchya,फिर्यादींच्या
pipertola,पिपरटोला
horlivka,होरलिवका
munsipality,मुन्सिपलिटी
ajgarala,अजगराला
rishtauti,रिश्तौती
gariaave,गरिआवे
hydrated,हाईड्रेटेड
manmohanamics,मनमोहनामिक्स
jhinjhariya,झिंझरिया
harsud,हरसूद
keetaiyari,कीतैयारी
neumann,न्यूमन
irshyetoonach,ईर्ष्येतूनच
silyara,सिल्यारा
dwijon,द्विजों
mahaprabadhak,महाप्रबधक
blocky,ब्लॉकी
nimrod,निमरोद
giraayi,गिरायी
swasthag,स्वस्थग
deehane,दीहने
swachcchanda,स्वच्छन्द
prasit,प्रसित
juices,ज्यूसेस
rajsekhara,राजशेखर
rodopali,रोडोपाली
braided,ब्रेडेड
societymarfat,सोसायटीमार्फत
purighat,पूरीघाट
laktantra,लकतंत्र
legislature,लेजिस्लेचर
sanchalkala,संचालकाला
gilauriyon,गिलौरियों
ngorongoro,नगोरोंगोरो
madivar,मादीवर
nalge,नलगे
tejdar,तेजदार
desu,डेसु
tapasyaaen,तपस्याएँ
surarshan,सुरर्शन
sheol,शेओल
asatpurushon,असत्पुरुषों
wholphin,वॉलफ़िन
kharwandi,खरवंडी
influeza,इंफ्लुएजा
khyaja,ख्याजा
makoi,मकोय
madhavendra,माधवेंद्रपुरी
mingle,मिंगल
shamyane,शाम्याने
boddhdharm,बोद्धधर्म
dbi,डीबीआई
haajeejee,हाजीजी
jaarg,जार्ग
nabil,नबिल
ramkaval,रामकवल
sydneyhome,सिडनहैम
danivar,दानीवर
turkisthaan,तुर्किस्तान
lebran,लेब्रान
sumirta,सुमिरता
maovadgrast,माओवादग्रस्त
laxma,लक्ष्मा
khaikheri,खैखेरी
sharifganj,शरीफगंज
ghatanchya,घाटांच्या
momjunction,मॉमजंक्शन
petroff,पेट्राफ
kodegu,कोडगू
trusts,ट्रस्टर
shighratavash,शीघ्रतावश
gairatdar,गैरतदार
biryan,बिरयान
maikoo,मैकू
juvederm,जुवेडर्म
bastaul,बस्तौल
sajjala,सज्जल
fatahgarhi,फतहगढ़ी
broods,ब्रूड्स
coursechi,कोर्सची
mescon,मेसकॉन
rainkhol,रैनखोल
tejal,तेजल
basguda,बसगुडा
baptiste,बैप्टिस्टे
sigrechar,सिग्रेचर
anoodeshak,अनुदेशक
eci,ईएसआई
bhaktaane,भक्ताने
pyoriya,प्योरिया
aidp,एआईडीपी
phodong,फूदोंग
libreville,लिब्रेविल
eyeball,आईबाल
ratnan,रतनन
katachalak,काटाचालक
bhatkaiyan,भटकैयां
mangh,मांघ
daakhvatach,दाखवतच
inpputs,इन्पुट्स
dusselt,डसल्ट
drashyaam,द्रश्याम
gangakhedkade,गंगाखेडकडे
dhanmagni,धनमग्नि
fasfetik,फास्फेटिक
cohain,कोहैन
rabasti,रबस्ती
monya,मोन्या
khidka,खिड़का
wataboru,वाताबोरू
dhuoomatsena,धूमत्सेन
chakhane,चखने
semiconductors,सेमीकंडक्टरों
boorush,बुरुश
ltcgt,एलटीसीजीटी
shaastronmen,शास्त्रोंमें
rojgarjanak,रोजगारजनक
sathidarakade,साथीदाराकडे
mantrakamdev,मंत्रकामदेव
balayogi,बालयोगी
maneed,मनीद
alamat,अलामत
violins,वायलिन्स
harisingpur,हरिसिंगपुर
falcal,फाल्कल
pikal,पीकल
cardiovscular,कार्डियोव्स्क्युलर
kheluungi,खेलूँगी
ranyasathi,रण्यासाठी
sahatu,सहतु
methylamine,मिथाइलेमिन
sampavili,संपविली
chibaniya,चिबानिया
tubular,ट्युबुलर
kafele,काफेले
nirikshakon,निरिक्षकों
harivahajan,हरिवहजन
shodhaarthi,शोधार्थी
vrakt,व्रक्त
jatishwar,जातीश्वर
fansavaaya,फंसवाया
khajwa,खजवा
rulduram,रूलदूराम
edourad,एडुअर्ड
rodhe,रोधे
tathashtamam,तथाष्टमम्
katneshwarkar,कटनेश्वरकर
katavanjhi,काटावांझी
sattsang,सत्तसंग
warrent,वारंट
payambar,पयंबर
pakshadhat,पक्षाधात
behareenee,बेहरीनी
inle,इन्ले
nokhamandi,नोखामंडी
jamkhambaliya,जामखम्बालिया
kbpg,केबीपीजी
umrailed,अमरेल्ड
nehmisarkhach,नेहमीसारखाच
mailwada,मैलवाड़ा
juhil,जुहिल
